,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,url
35604,tt0069142,movie,Lovers of Devil's Island,Quartier de femmes,0,1973,\N,97,Drama,4.9,209,https://www.imdb.com/title/tt0069142/
209581,tt3881136,movie,Life Is Beautiful,Life Is Beautiful,0,2014,\N,116,"Comedy,Romance",5.5,48,https://www.imdb.com/title/tt3881136/
229424,tt5878590,movie,Ni Tú Ni Yo,Ni Tú Ni Yo,0,2018,\N,98,Comedy,5.0,98,https://www.imdb.com/title/tt5878590/
37368,tt0071939,movie,The Last Exploits of the Olsen Gang,Olsen-bandens sidste bedrifter,0,1974,\N,102,"Comedy,Crime,Family",7.1,1752,https://www.imdb.com/title/tt0071939/
13292,tt0036298,movie,Reise in die Vergangenheit,Reise in die Vergangenheit,0,1943,\N,81,"Comedy,Drama,Romance",7.3,14,https://www.imdb.com/title/tt0036298/
194496,tt2673176,movie,"Burn It Up, Djassa",Le djassa a pris feu,0,2012,\N,70,"Crime,Drama,Music",3.6,49,https://www.imdb.com/title/tt2673176/
83754,tt0211723,movie,"Viaggia, ragazza, viaggia, hai la musica nelle vene","Viaggia, ragazza, viaggia, hai la musica nelle vene",0,1973,\N,93,Drama,7.0,26,https://www.imdb.com/title/tt0211723/
36441,tt0070477,movie,We Were Mistaken About a Love Story,On s'est trompé d'histoire d'amour,0,1974,\N,\N,Drama,6.5,40,https://www.imdb.com/title/tt0070477/
133876,tt10075070,movie,Os Jovens Baumann,Os Jovens Baumann,0,2018,\N,70,Family,6.3,57,https://www.imdb.com/title/tt10075070/
85,tt0003379,movie,Sixty Years a Queen,Sixty Years a Queen,0,1913,\N,\N,Biography,4.5,13,https://www.imdb.com/title/tt0003379/
125380,tt0489664,movie,Shattered,Butterfly on a Wheel,0,2007,\N,95,"Crime,Drama,Thriller",6.7,31483,https://www.imdb.com/title/tt0489664/
49188,tt0093061,movie,Funkytown,Funkytown,0,1998,\N,82,"Documentary,Music",7.7,15,https://www.imdb.com/title/tt0093061/
16203,tt0040568,movie,Mare nostrum,Mare nostrum,0,1948,\N,90,Drama,6.4,51,https://www.imdb.com/title/tt0040568/
13706,tt0036912,movie,Here Come the Waves,Here Come the Waves,0,1944,\N,99,"Comedy,Musical,Romance",6.2,422,https://www.imdb.com/title/tt0036912/
54402,tt0102598,movie,Only the Lonely,Only the Lonely,0,1991,\N,104,"Comedy,Romance",6.4,10922,https://www.imdb.com/title/tt0102598/
188153,tt2328521,movie,Blue Briefs,Blue Briefs,0,2012,\N,93,Drama,5.9,86,https://www.imdb.com/title/tt2328521/
123201,tt0470202,movie,Basic Autopsy Procedure,Basic Autopsy Procedure,0,1961,\N,51,Documentary,7.2,16,https://www.imdb.com/title/tt0470202/
131778,tt0933019,movie,Glory to Gloriana,Glory to Gloriana,0,2006,\N,110,Drama,7.5,15,https://www.imdb.com/title/tt0933019/
83411,tt0210149,movie,Lakeboat,Lakeboat,0,2000,\N,98,Drama,6.1,688,https://www.imdb.com/title/tt0210149/
185491,tt2230916,movie,"Matt Mercury, Plot of the Galactic Mastermind","Matt Mercury, Plot of the Galactic Mastermind",0,2012,\N,90,Sci-Fi,5.4,11,https://www.imdb.com/title/tt2230916/
111041,tt0371342,movie,Le Furet,Le Furet,0,2003,\N,88,"Comedy,Crime,Drama",4.8,161,https://www.imdb.com/title/tt0371342/
191876,tt2493154,movie,Take Away One,Take Away One,0,2013,\N,105,"Biography,Documentary",8.6,5,https://www.imdb.com/title/tt2493154/
102133,tt0311024,movie,Doll's Eye,Doll's Eye,0,1982,\N,75,Drama,4.2,16,https://www.imdb.com/title/tt0311024/
133034,tt0985680,movie,Wonderful and Loved by All,Underbar och älskad av alla (och på jobbet går det också bra),0,2007,\N,106,"Comedy,Drama",4.9,811,https://www.imdb.com/title/tt0985680/
100853,tt0302471,movie,El descanso,El descanso,0,2002,\N,95,Comedy,7.0,116,https://www.imdb.com/title/tt0302471/
221525,tt5084358,movie,Nochnoy zvonok,Nochnoy zvonok,0,1970,\N,60,Drama,6.2,15,https://www.imdb.com/title/tt5084358/
82762,tt0206367,movie,The Trumpet of the Swan,The Trumpet of the Swan,0,2001,\N,75,"Animation,Drama,Family",5.1,1124,https://www.imdb.com/title/tt0206367/
95506,tt0274603,movie,The Bloody Wheat,Kanli bugday,0,1965,\N,90,Adventure,6.2,19,https://www.imdb.com/title/tt0274603/
247546,tt8262374,movie,A New Capitalism,Um Novo Capitalismo,0,2017,\N,71,Documentary,6.4,116,https://www.imdb.com/title/tt8262374/
